Isolate ID,Collection date,Date,,Island,Sample type,Species,Automated SBI,MLST,Total length,GC (%),Depth,Contigs,CDS,N50,stx1A,stx1B,stx2A,stx2B,Automated_SBI,SBI,O-type,H-type,Serotype,eae,ehxA,hlyE,stx1a,stx2a,stx2c,RB_level 1,RB_level 2,RB_level 1b
ERL_07467,2007,15/02/2007,,NI,human,E. coli,WY12a,11,5239549,50.28,187,170,4944,127310,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL_084313,2008,28/11/2008,,SI,human,E. coli,Y2c,11,5267048,50.28,185,197,4963,102807,0,0,1,1,Y2c,Y2c,O157,H7,O157:H7,1,1,1,0,0,1,2,6,2
ERL_10197,2010,13/01/2010,,SI,human,E. coli,ASY2c,11,5270315,50.22,185,215,4956,116339,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL04-1335,2004,26/04/2004,,,human,E. coli,WY12a,11,5415433,50.26,79,163,5170,160335,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,0,1,1,1,0,2,4,2
ERL04-2149,2004,23/07/2004,,NI,bovine,E. coli,WY12a,11,5341757,50.27,78,142,5072,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL04-2361,2004,14/08/2004,,NI,bovine,E. coli,AY2a,11,5430601,50.26,114,145,5198,180339,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL04-2635,2004,30/08/2004,,NI,bovine,E. coli,AWY2a,11,5511020,50.23,94,165,5316,157300,0,0,1,1,AWY2a,AWY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL04-3180,2004,8/10/2004,,SI,bovine,E. coli,AY2a,11,5407642,50.24,62,177,5174,179839,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL04-3193,2004,8/10/2004,,SI,bovine,E. coli,WY12a,11,5371574,50.21,126,136,5120,152178,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL04-3264,2004,15/10/2004,,SI,bovine,E. coli,WY12a,11,5385649,50.23,116,142,5154,152178,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL-04-3328,2004,20/10/2004,,NI,human,E. coli,WY12a,11,5404527,50.19,154,145,5161,149646,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL-04-3576,2004,11/11/2004,,SI,human,E. coli,AY2a,11,5473034,50.27,139,150,5253,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,2,1
ERL-04-3763,2004,2/12/2004,,SI,human,E. coli,ASY2c,11,5508444,50.19,128,165,5268,185198,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL-04-3852-S4,2004,14/12/2004,,NI,human,E. coli,AY2a,11,5372278,50.26,157,134,5129,201721,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL-04-3852-S5,2005,25/02/2005,,SI,human,E. coli,AY2a,11,5448403,50.17,152,154,5236,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,2,1
ERL-04-602,2004,23/02/2004,,NI,human,E. coli,AY,11,5322018,50.28,136,144,5068,183972,0,0,0,0,AY,AY,O157,H7,O157:H7,1,1,1,0,0,0,3,7,3
ERL-05-1169,2005,6/04/2005,,NI,human,E. coli,AY2a,11,5352978,50.28,139,145,5110,188197,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL-05-1243,2005,24/03/2005,,NI,human,E. coli,WY12a,11,5361198,50.29,132,129,5110,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL05-1677,2005,16/05/2005,,SI,human,E. coli,ASWY2c,11,5388250,50.25,99,146,5138,188329,0,0,1,1,ASWY2c,ASWY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL-05-2349,2005,20/07/2005,,NI,human,E. coli,ASY2c,11,5478634,50.24,156,164,5222,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
ERL05-2493,2005,29/07/2005,,NI,bovine,E. coli,WY12a,11,5282599,50.3,92,134,4998,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL05-3130,2005,6/09/2005,,SI,bovine,E. coli,AY2a,11,5411507,50.26,107,145,5179,201721,0,0,1,1,AY2a,A2a,O157,H7,O157:H7,1,1,1,0,1,0,1,2,1
ERL05-3260,2005,10/08/2005,,NI,bovine,E. coli,AY2a,11,5419596,50.2,110,132,5180,185727,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL-05-3299,2005,14/09/2005,,SI,human,E. coli,SY2c,11,5399396,50.21,121,164,5152,188529,0,0,1,1,SY2c,SY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL05-599,2005,22/02/2005,,NI,bovine,E. coli,ASY2c,11,5381181,50.24,122,159,5115,178246,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,10,3
ERL05-623,2005,8/12/2005,,SI,bovine,E. coli,WY12a,11,5330727,50.28,89,131,5055,190104,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL06-2494,2005,25/07/2005,,NI,bovine,E. coli,AY2a,11,5422458,50.25,106,145,5198,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL06-3112,2006,21/08/2006,,NI,bovine,E. coli,AY2a,11,5403447,50.26,90,149,5172,183735,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL06-3117,2006,21/08/2006,,SI,bovine,E. coli,WY12a,11,5368105,50.2,98,136,5115,152178,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL06-3151,2006,22/08/2006,,SI,bovine,E. coli,ASY2c,11,5326517,50.28,81,128,5080,211449,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL-06-3358,2006,5/09/2006,,SI,human,E. coli,AY2a,11,5404593,50.26,149,150,5169,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,2,1
ERL06-3513,2006,11/09/2006,,NI,bovine,E. coli,WY12a,11,5564009,50.26,89,185,5368,148217,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL06-4361,2006,28/11/2006,,NI,human,E. coli,A2a,11,5450211,50.29,79,126,5201,201721,0,0,1,1,A2a,A2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL-06-4465,2006,8/12/2006,,SI,human,E. coli,ASY2c,11,5452123,50.29,110,162,5196,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL-06-677,2006,17/02/2006,,NI,human,E. coli,WY12a,11,5458835,50.21,153,146,5221,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL06-726,2006,14/02/2006,,SI,human,E. coli,ASY2c,11,5407970,50.25,84,172,5151,163252,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL07-1133,2007,8/04/2007,,,bovine,E. coli,AY2a,11,5477130,50.21,86,146,5254,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL07-154,2007,9/01/2007,,NI,bovine,E. coli,ASY2c,11,5395472,50.23,91,147,5154,188530,0,0,0,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,0,4,11,3
ERL-07-155,2007,16/01/2007,,NI,human,E. coli,ASY2c,11,5468373,50.25,160,165,5232,202031,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
ERL07-2285,2007,1/08/2007,,,bovine,E. coli,AY2a,11,5456271,50.19,75,160,5238,163246,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL07-2341,2007,6/08/2007,,NI,bovine,E. coli,AY2a,11,5398295,50.25,79,139,5157,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL07-2638,2007,26/08/2007,,NI,bovine,E. coli,WY12a,11,5386757,50.22,90,129,5136,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL07-2698,2007,31/08/2007,,SI,bovine,E. coli,ASY2c,11,5373388,50.24,92,139,5120,163239,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
ERL-07-2865,2007,14/09/2007,,NI,human,E. coli,AY2a,11,5408479,50.26,128,177,5174,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL-07-3071,2007,25/09/2007,,SI,human,E. coli,WY12a,11,5270154,50.3,92,119,4981,188388,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL-07-314,2007,3/02/2007,,SI,human,E. coli,ASY2c,11,5461411,50.25,90,164,5205,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
ERL-07-811,2007,13/03/2007,,SI,human,E. coli,AY2a,11,5321525,50.27,142,121,5068,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL08-1743,2008,8/05/2008,,NI,human,E. coli,AY2a,11,5387046,50.25,79,136,5149,188961,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL08-1889,2008,17/05/2008,,,bovine,E. coli,AY2a,11,5387718,50.26,97,136,5142,188959,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL08-1945,2008,26/05/2008,,NI,human,E. coli,AS12c,11,5355251,50.28,79,153,5090,163199,1,1,0,1,AS12c,AS12c,O157,H7,O157:H7,1,1,1,1,0,0,4,12,3
ERL08-2000,2008,30/05/2008,,NI,human,E. coli,SY2c,11,5430690,50.16,85,149,5212,160337,0,0,1,1,SY2c,SY2c,O157,H7,O157:H7,1,1,1,0,0,1,2,6,2
ERL-08-2021,2008,4/06/2008,,NI,human,E. coli,ASY2c,11,5364808,50.25,184,170,5092,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,4,11,3
ERL-08-2124,2008,12/06/2008,,SI,human,E. coli,WY12a,11,5210638,50.33,93,134,4948,188388,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,0,1,1,1,0,2,5,2
ERL-08-2970,2008,26/08/2008,,SI,human,E. coli,AY2a,11,5406874,50.27,134,163,5180,158585,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL-08-3021,2008,28/08/2008,,SI,human,E. coli,SY2c,11,5356803,50.29,124,175,5113,188530,0,0,1,1,SY2c,SY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL-08-3450,2008,19/09/2008,,NI,human,E. coli,AY2a,10466,5409733,50.25,138,157,5183,188306,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL08-3922,2008,22/10/2008,,SI,bovine,E. coli,AY2a,11,5454872,50.12,84,147,5221,158586,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,2,1
ERL08-4331,2008,27/11/2008,,SI,bovine,E. coli,AS2c,11,5367197,50.25,84,134,5111,237850,0,0,1,1,AS2c,AS2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
ERL08949,2008,5/03/2008,,NI,human,E. coli,WY12a,11,5405345,50.2,137,144,5168,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL08-987,2008,7/03/2008,,NI,bovine,E. coli,AS2c,11,5347611,50.28,93,113,5077,190247,0,0,1,1,AS2c,AS2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
ERL09-1792,2009,20/05/2009,,SI,human,E. coli,ASY2c,11,5389364,50.25,119,151,5122,161130,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
ERL09-2373,2009,30/07/2009,,NI,bovine,E. coli,ASY2c,11,5379657,50.26,90,150,5122,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL09-2521,2009,17/08/2009,,SI,bovine,E. coli,ASY2c,11,5368846,50.28,97,131,5119,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
ERL09-2594,2009,25/08/2009,,NI,human,E. coli,AY2a,11,5414842,50.26,67,143,5191,188948,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL09-2641,2009,29/08/2009,,SI,bovine,E. coli,AY2a,11,5446957,50.16,78,135,5225,201723,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL09-3051,2009,23/09/2009,,NI,human,E. coli,WY12a,11,5399807,50.17,114,133,5143,150182,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL093134,2009,30/09/2009,,SI,human,E. coli,WY12a,11,5331049,50.28,198,153,5066,150862,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL09-3411,2009,14/10/2009,,SI,bovine,E. coli,WY1,11,5384285,50.29,77,136,5129,188388,1,1,1,1,WY1,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL093611,2009,2/11/2009,,SI,human,E. coli,AY2a,11,5399658,50.25,105,158,5160,146987,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,3,1
ERL093688,2009,9/11/2009,,NI,human,E. coli,ASY2c,11,5395793,50.17,113,154,5143,244562,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
ERL101381,2010,5/05/2010,,SI,human,E. coli,WY12a,11,5334442,50.28,187,154,5064,160335,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL101788,2010,9/06/2010,,NI,human,E. coli,WY12a,11,5334408,50.27,85,131,5068,150824,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL10-1821,2010,11/06/2010,,SI,human,E. coli,WY2c,11,5422339,50.17,106,138,5174,183826,0,0,1,1,WY2c,SWY2c,O157,H7,O157:H7,1,1,1,0,0,1,4,11,3
ERL10-2113,2010,12/07/2010,,NI,human,E. coli,AY,11,5333137,50.25,34,191,5054,170456,0,0,1,0,AY,ASY,O157,H7,O157:H7,1,1,1,0,0,0,3,10,3
ERL10-2267,2010,23/07/2010,,SI,bovine,E. coli,WY12a,11,5307840,50.29,139,129,5034,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL102582,2010,20/08/2010,,SI,human,E. coli,AY2a,11,5397880,50.25,153,151,5163,147389,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL10-4349,2010,15/12/2010,,NI,human,E. coli,ASY12c,10467,5854111,50.1,106,180,5692,146496,1,1,1,1,ASY12c,ASY12c,O157,H7,O157:H7,1,1,1,1,0,1,4,12,3
ERL10-552,2010,9/02/2010,,NI,human,E. coli,AY2a,11,5528855,50.26,79,156,5329,181247,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL10-553,2010,9/02/2010,,NI,human,E. coli,AS2c,11,5378528,50.26,89,136,5110,239325,0,0,1,1,AS2c,AS2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
ERL10-835,2010,5/03/2010,,SI,bovine,E. coli,AY2a,11,5414590,50.25,90,135,5188,188306,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL11-1029,2011,22/03/2011,,NI,bovine,E. coli,ASY2c,11,5389933,50.24,96,155,5141,188963,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,10,3
ERL11105,2011,11/01/2011,,NI,human,E. coli,AY2a,11,5359232,50.25,154,161,5093,180355,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL111514,2011,4/05/2011,,SI,human,E. coli,AY2a,11,5408634,50.25,154,175,5175,180605,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL111878,2011,8/06/2011,,NI,human,E. coli,WY12a,11,5488857,50.29,104,153,5250,160335,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL111881,2011,8/06/2011,,NI,human,E. coli,ASY2c,11,5355444,50.26,161,164,5080,236144,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
ERL11-2437,2011,23/07/2011,,NI,bovine,E. coli,WY12a,11,5360193,50.29,77,133,5108,188105,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL11-2652,2011,22/08/2011,,SI,bovine,E. coli,WY12a,11,5352547,50.27,88,132,5097,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL112838,2011,30/08/2011,,SI,human,E. coli,WY12a,11,5442472,50.3,200,154,5201,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL11-2886,2011,1/09/2011,,SI,bovine,E. coli,AY2a,11,5400262,50.26,70,145,5176,187934,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,3,1
ERL113692,2011,27/10/2011,,SI,human,E. coli,ASY2c,11,5572999,50.3,84,238,5330,73402,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL11-411,2011,8/02/2011,,NI,human,E. coli,AWY12a,11,5457478,50.18,51,169,5231,148206,1,1,1,1,AWY12a,AWY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
ERL121115,2012,3/04/2012,,NI,human,E. coli,WY12a,11,5342681,50.27,129,144,5093,151170,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL-12-1148,2012,31/03/2012,,SI,human,E. coli,AY2a,11,5430495,50.25,135,141,5200,183735,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL121207,2012,12/04/2012,,SI,human,E. coli,WY12a,11,5344937,50.27,165,145,5091,151170,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
ERL121344,2012,26/04/2012,,NI,human,E. coli,AY2a,11,5391790,50.26,143,170,5154,188306,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL12-2002,2012,5/07/2012,,NI,human,E. coli,ASY2c,11,5394001,50.25,103,148,5153,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL12568,2012,17/02/2012,,SI,human,E. coli,ASY2c,11,5388781,50.24,125,168,5131,211432,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
ERL12-857,2012,14/03/2012,,NI,human,E. coli,Y1,11,5287033,50.28,98,137,5007,159929,1,1,0,0,Y1,Y1a,O157,H7,O157:H7,1,1,1,1,0,0,2,4,2
h110a,2010,14/10/2010,,NI,bovine,E. coli,ASY2c,11,5385279,50.26,118,167,5114,163226,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,10,3
H12ESR-1893,2012,23/08/2012,,SI,bovine,E. coli,WY1,11,5426104,50.27,84,141,5183,160335,1,1,0,0,WY1,WY1a,O157,H7,O157:H7,1,1,1,1,0,0,2,5,2
H12ESR-3001,2012,17/09/2012,,NI,bovine,E. coli,WY12a,11,5329584,50.27,81,127,5073,189180,1,1,1,1,WY12a,Y12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
H12ESR-3003,2012,15/09/2012,,NI,bovine,E. coli,ASY2c,11,5321828,50.26,78,129,5050,188965,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,10,3
H12ESR-3802,2012,14/10/2012,,SI,bovine,E. coli,AY2a,11,5427252,50.27,82,159,5199,190970,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,2,1
H12ESR-3850,2012,8/10/2012,,NI,bovine,E. coli,AY2a,11,5468326,50.28,78,160,5248,183735,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
H12ESR-4525,2012,1/11/2012,,SI,bovine,E. coli,ASY2c,10468,5388945,50.23,89,156,5136,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
H13ER-3948,2013,6/06/2013,,NI,human,E. coli,WY12a,11,5312096,50.26,129,129,5049,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
H13ER-5955,2013,5/10/2013,,NI,human,E. coli,AY2a,11,5411282,50.25,118,145,5177,157471,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,3,1
H13ER-6408,2013,21/05/2013,,SI,human,E. coli,ASY2c,11,5371866,50.25,145,160,5121,160329,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
H13ER-6657,2013,27/11/2013,,SI,human,E. coli,AY2a,11,5455221,50.27,135,159,5242,158699,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
H13ESR-1331,2013,2/03/2013,,SI,human,E. coli,WY12a,11,5299439,50.28,153,131,5036,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
H13ESR-2152,2013,9/04/2013,,SI,bovine,E. coli,ASY2c,11,5396132,50.25,103,151,5141,189183,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
H13ESR-2208,2013,3/04/2013,,NI,bovine,E. coli,ASY2c,11,5386828,50.25,84,145,5130,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
H13ESR-2383,2013,19/04/2013,,NI,human,E. coli,ASY2c,11,5363339,50.25,142,155,5111,188310,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
H13ESR-2556,2013,29/04/2013,,SI,bovine,E. coli,ASY2c,11,5392221,50.25,90,139,5138,236138,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
